A  	71.037113787  	 
R 	156.101111026 	 
D 	115.026943031 	 
N 	114.042927446 	 
C 	160.030648200 	Common variation is C+IAA (C+57) = 160.030648200 103.009184477
E 	129.042593095 	 
Q 	128.058577510 	 
G 	57.021463723 	 
H 	137.058911861 	 
I 	113.084063979 	 
L 	113.084063979 	 
K 	128.094963016 	 
M 	131.040484605 	 
F 	147.068413915 	 
P 	97.052763851 	 
S 	87.032028409 	 
T 	101.047678473 	 
W 	186.079312952 	 
Y 	163.063328537 	 
V 	99.06841391
Z 	0.0 	Place holder for single peptide in mixture/cross-link search
O	111.0316	pyro-Q
